dt,tx
Fri Dec 16 2022 21:03:31 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/55jvAGFSXUzeXyinvDu7VKELJrkvK5QDxwmGd2AgXfNcUwvN8thHkpc6cBFJ55ZAtnTF4HUhgQnoGkb1hhs37s8S
Fri Dec 16 2022 21:06:11 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/5mHhYiBUWM7JiESnT5nNY8M9JVFUgX34mPneJR2Xx3yDcLAY5WdS5zLbY35XH8gsqZZmsyvYmkQwm7XjQD3sjvKP
Fri Dec 16 2022 21:06:17 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/2JNLghJ6BBk4bjD57pnspJkPWmN2zEfrG1gvmHkHcaumN3yGumGdXBUaxEf5yzhR2JNSC2c8j8ugCb9yV7c7wqPX
Fri Dec 16 2022 21:09:02 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4XMMLjdKYGN6Rf87xAdCXWiyQ656Yde88NvUjnTeGvfDBytCc3Nc5BsaerKj5a7CJpsaaq2eMf1UeMLuU6cCCH4L
Fri Dec 16 2022 21:09:08 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/28DAE8hacK8xssfvYugEqvoSy6TrweGu54maUu3qZcZNykyK3KAGqTUfdYYrZJosUMgy4PrpECenn2kiWYadKPmG
Fri Dec 16 2022 21:09:10 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/5dci13tA3MP4GzFcpLdJ8fnNJNyykGGbyxDaFwps96mDBkNs7qsJNwcEwpibZmxuMTGNChTL1oti28T6M6mXumAF
Fri Dec 16 2022 21:09:11 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/3XGEFcZNJgxJix8rzP7wnVbWkzcUwXfNvZ5TAJ4GSGdSpEx7JNNfjbpmdYfV2xAM8M8imWZ1KQFuroSZmRJy1Emb
Fri Dec 16 2022 21:09:11 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/3goZYZuERo9AXBWNmkowaGo2KsZXAxVjhVmAFjuaLj9uu7fw3UongwJvmv1f2bG47yazpYZDWUJLRWXWdjWi4LHF
Fri Dec 16 2022 21:09:17 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/2NBU8UM4MX1GMZjHbdZy3J3FC6iKhMHV7BNLoJjSNNUiUrYeWgj1EsHxb8DAYcqRx5cerNsXVdc2yggHBDbYn3ej
Fri Dec 16 2022 21:09:17 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/6aRKRWWkXEgUQgeHEa2bbFg8LHopLUFQp7q2jMYR8hsK5MqrKpzBGVdCrWa9F748yS9gxXEoHE76k21Jz6TUWnA
Fri Dec 16 2022 21:09:17 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4XMMLjdKYGN6Rf87xAdCXWiyQ656Yde88NvUjnTeGvfDBytCc3Nc5BsaerKj5a7CJpsaaq2eMf1UeMLuU6cCCH4L
Fri Dec 16 2022 21:09:20 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/3qs4tk5ir7B2Ggvsy84Sd7WXjCZBqodX1ifCQTBVTaP9BC1cUD3Uj6wmVhFx2ANdT6nh4rgNAs29JWZN2igtWW1V
Fri Dec 16 2022 21:13:45 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/3vc2rzcpH3djW6FxcK77sWy7t6gPMSyu851xDC5MCVYW916EY7gAR7tsYH6rjD9LaLsSYACGETaDJW2psBhbHXpC
Fri Dec 16 2022 21:13:55 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/KrNMdzqHroFZ5g5CaGayNeRdbY2dkCxTnPoAa48fxRDMjkjaW3vKiGbFPVLwYx8knVNVSCqnzF8jfHioy6sEXCC
Fri Dec 16 2022 21:14:00 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/Rb8TVNoAvHC6UhsCiA2KgxMUDxX63SW8AVNjDE9z4WwBHBQ9S7tePMhDSViVJd4XZEWWRYxHf5jSGy2srjmYa6i
Fri Dec 16 2022 21:14:00 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/647i3yVMt9ySAfoq6vdoBvxV4yL5rdoFuGnfmgy53M7uXyc69sYnb31XLPdFocWbyR9M5bsoytjg1FeLvea7oWJc
Fri Dec 16 2022 21:14:01 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/66tm5YLg2ZdNwQQ363fBwYvpofc1YmcjrNGXpnd3VofapdDa92U7zsTBG32ovr5FrCFesHkdw4BdFES3e3X3f63D
Fri Dec 16 2022 21:14:02 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/5BTedJGvwu4FQgmBqtPD2iutCieK8dVwmCq2rGSDpfyC3zFEJkffLvCaAqDpBccH8AkBuh6RMseu5R8bWKVbmqk3
Fri Dec 16 2022 21:14:02 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/5zYeCkhs4qqXrJJBEakqNHK4FdDpnomVnLzH7RBmQw6kHxLZHPPvUiEfy4o7FoXGqhFrkuv31LFzWvKefupgUHju
Fri Dec 16 2022 21:14:03 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/Uwgn13Xf896msxCGzqqRcSWaxYyVNLCFhvbimtYtiGAHP3GJy6ybFSRCYCX3yT69rQhxw7BBpV8xrHJyT2P6Mkp
Fri Dec 16 2022 21:14:05 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4q4DammUBK4BRHzrUMpfrD9L86LKpbqabjqPqBUCz6ZS3nMfSknUTD7peed52mK6fThraV3C8GHuSiB4MKyLp5sN
Fri Dec 16 2022 21:14:10 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/48JgFJsFr4tp5kKjTt4tcQQ2DdZ4K3uk7qUnz1spjk6Phaz3GtkKkUGCf8Q5huukyg5RV9ynym3sACrVr2mwuQ5i
Fri Dec 16 2022 21:14:19 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/5wkgKyPYJoBTwY7NjHYSDSwB2Zb7USqkxxac6U3bPDHAJkA7LLETexFjLXyRAiFeQxn8H1vTWszHuFwBw6f1tidd
Fri Dec 16 2022 21:14:24 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4Db8VoLk68i2Ke1BYDb8XwC8zMpm2cpEnRihRjAj9rG5gi3zXMrtPcEx7uvFpWcfZeDPLhvC2XbJagnmvKgv8pMb
Fri Dec 16 2022 21:14:25 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/vHQy3ZLL5x4ob39s6fum1ZWi22s4yLBxpS8zmHkWRTd2nkzjpkrQUzsxfZDws8o7582BwQXqfXupwo7mnfufBR8
Fri Dec 16 2022 21:14:26 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/3J6nAaw4cKnmbWvQdpFdoF5TCH8kP4ae51LuRRMPSzTS6yRWWfmeF6f9cnkL3MeNxiCy6ZJsYbMpRuLRVBnS4YPE
Fri Dec 16 2022 21:14:34 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/61QdxP3HecF1tcrpC8X1Xt8nRHriCPp13MQHB6ai5NmduBfEoasKXrVheMrBWiS8YCUq299zRcH4ZtPdnsgUiKuz
Fri Dec 16 2022 21:14:37 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/3g6jKp2FcQji3PnywCGHXguR39WwVjbnTWgAxLY9XtZ5ZLf2JP3jYQgumSeSaSTGTETKJ8fWSUtk52PDpywZhg5a
Fri Dec 16 2022 21:14:38 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/5eXpK1GCgzfXf3QJwEhzVAc4ctWM1xW1sQCZMzkogFQjxFxBMvJJewa4YsPtQ1ADe6U3vrHmwKnZNHGWyJHYo69i
Fri Dec 16 2022 21:14:46 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4a98o4MHBQQCtsYF91PWRU9b375JK11A86T7ojuFUgwTTJoeDpHaNYc18RvqghCmTUpTVyyTV7NZRAeyu84eJze4
Fri Dec 16 2022 21:14:56 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4tLJhxXtcJLxQiGsK142zo4QTiAU225R7ZuEZgvqZdnufjKZpyUkGPTfSdmBeDnNZn9Ru4soyrgy6wzJvgMeZcqs
Fri Dec 16 2022 21:14:56 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/23jz54b5ymGS4da3Vo7C94naHweyFNZC3Ser9bBgyP7RBG35Vdbxm4snXCSUcxJSCNG7C8D3mR2StDV8oRH58ySa
Fri Dec 16 2022 21:15:09 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4nftMmoQyovmisYJDeqWZG1LzPntrF1j2pQVHAbHZFCudYyBKPwnbYFhy1abUHhcYedowPEXqT2dLRYqoPYjRXVv
Fri Dec 16 2022 21:15:15 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/3NUj8PHVT5RErHysSD3tTm5VJpxGnveVNBXTt2knQK5iQjRwQRttCJCEzorAdFLtWtKvXKT4H1MoUnLs15hqTEUC
Fri Dec 16 2022 21:16:49 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/uCBwwpskqngNU42V1ALwrbT5DL6L9gyve7mcE3nSJbxcimYXnDZdwW6AeYRM9J2jyUvwaDxBqm5PdDjvNSvidXT
Fri Dec 16 2022 21:16:52 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/2kd8sfu8Y514498fpZzxBTqDgJ2TB5rTrsRbWUJC4zb6HSjvm6ycE6sBJPn5CU1wrb8bg9QDfA1Axxqten851g6F
Fri Dec 16 2022 21:16:56 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/2StkykYntj2M87AVLBKub3GMXtxvHPgTqAgesotpBhKiU9WgBhCAMrb18VWAysSkrrcmErUMG1SJAwQWUKmBfe8f
Fri Dec 16 2022 21:16:57 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4jeuz6zsUSozRrB4vmCjWjhFgcCheethtUHLirpDetHbCXcbUDfuZz6d8f751AjjTJpPMW2ZqwigUMEFTnapwxcW
Fri Dec 16 2022 21:16:57 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4XXwan4nq1NZB8suMnpAmVHDBFgKUbyDJ6VxSzUfp6BE1gY7KhxVzDmivrZkbmGuWgHTzZNps1kCnWBkKHzSh87z
Fri Dec 16 2022 21:17:02 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4vR6iPRLZ2SRZjHZKzaqWeUu4wYpNNhJgiA8YErqdYPbjDEKbSpUbfQTawmeKE6eGN17ctqk3jr24oANCXCppa23
Fri Dec 16 2022 21:17:04 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/3G7wjwQQVyquSsEezCZ621xkeZj4CfJmEEQ1mUTZL2F9bUXHzrbiaPwhtcjTcSLwMVynBDypis7ThxmydazF7vyx
Fri Dec 16 2022 21:17:06 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/27TB6jrpmky4pjey2YX7KmwndpSVKMw8hoA6aqx6sN8KpDRKGU7ifFbntmLcHSeVxT9pWAD41KR8pSXrNX1fyNXh
Fri Dec 16 2022 21:17:07 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/676NxJdm3EAeFQHqhboJ3ajza3T68wBoJwRUsSYjfZFf8tpPc6hJgUJcV9ohNAENA8ku6yiCBM67j9NztkAbySMz
Fri Dec 16 2022 21:17:08 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/4KLBkf9TC68gdqvt5ZVGFDtESwH1TGJkpyhcJb1bevYMuogPPcm8WgrXUDVrW7P51zXcyUQLM11f8Q3Z2KGnuqE3
Fri Dec 16 2022 21:17:09 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/G13SgSm2yKJCMdnbmrmjyiKueQF6CEUV66F4dgJCjR5EuxZgD2pr9kKYbRipGymcDe4KypgZDys5aHVvXSqSJzm
Fri Dec 16 2022 21:17:12 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/5mHHrUn8kKhekQC8XpiEvvqVBUvVAczrKAisbYQcRKBnYjDbXbUV76GDbhooNmZgv3ncmNZSMdFmbAAmHk7Lsq4L
Fri Dec 16 2022 21:17:45 GMT-0400 (Atlantic Standard Time), https://solscan.io/tx/3WM3eLziuytahdwMHW8RXkhGgsM3uzy1dnLuVaZ2JPx4XPqMuk6Qb29SYVQUGeZppWaFVc1iVRXrYtFFRLQX6GKL
